domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,debt-collection-rights,Debt collection rights,debt-collection-rights.pdf,,Texas Law Help: https://texaslawhelp.org/article/debt-collection,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,judgment-proof-status,Judgment proof status,judgment-proof-status.pdf,,South Carolina Legal Services: https://sclegal.org/wp-content/uploads/2018/04/Being-Judgment-Proof-on-Consumer-Debt-Do-You-Need-to-File-Bankruptcy-SCLegal-Brochure.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,wage-garnishment-protection,Wage garnishment protection,wage-garnishment-protection.pdf,,US DOL: https://www.dol.gov/agencies/whd/fact-sheets/30-cppa,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,bankruptcy-exemptions,Bankruptcy exemptions,bankruptcy-exemptions.pdf,,Nolo: https://www.nolo.com/legal-encyclopedia/washington-bankruptcy-exemptions.html,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,qualified-business-income-deduction,Qualified business income deduction,qualified-business-income-deduction.pdf,,IRS: https://www.irs.gov/newsroom/qualified-business-income-deduction,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,adoption-credit,Adoption credit,adoption-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/adoption-credit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,self-employment-tax,Self-employment tax,self-employment-tax.pdf,,IRS: https://www.irs.gov/businesses/small-businesses-self-employed/self-employment-tax-social-security-and-medicare-taxes,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,american-opportunity-tax-credit,American opportunity tax credit,american-opportunity-tax-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/american-opportunity-tax-credit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,debt-repayment-strategies,Debt repayment strategies,debt-repayment-strategies.pdf,,NFCC: https://www.nfcc.org/blog/what-is-the-best-way-to-pay-off-debt-debt-avalanche-vs-debt-snowball/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,credit-score-basics,Credit score basics,credit-score-basics.pdf,,FIH 360/CFPB: https://www.fhi360.org/wp-content/uploads/drupal/documents/cfpb_building_block_activities_all-about-credit-scores_handout.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
